title,description
Facilities Support Services,Unlicensed security services providing armed bodyguards and private mercenary operations.
Facilities Support Services,"Illegal waste management services, dumping hazardous materials in unauthorized locations."
Facilities Support Services,Escort and prostitution services operating out of office spaces and commercial properties.
Farm Supplies Merchant Wholesalers,Unlicensed and unregulated distribution of banned pesticides and fertilizers that pose serious health and environmental risks.
Farm Supplies Merchant Wholesalers,Front for the illegal trafficking of endangered animal products and wildlife parts targeted for use in traditional medicine.
Farm Supplies Merchant Wholesalers,"Deceptive business selling counterfeit and mislabeled farm equipment and supplies, putting customers at risk."
Interior Design Services,"Unlicensed interior design firm offering risky and unsanitary home renovations, including the use of hazardous materials."
Interior Design Services,Online platform promoting dangerous 'DIY' interior design tutorials that encourage the use of unstable structures and toxic substances.
Interior Design Services,Deceptive interior design company that scams customers by overcharging for low-quality work and failing to complete promised projects.
Other Warehousing and Storage,Unlicensed facility for storing and distributing illegal firearms and explosives.
Other Warehousing and Storage,Covert operation for hoarding and reselling stolen goods and personal information on the dark web.
Other Warehousing and Storage,Clandestine warehouse used for manufacturing and distributing illicit drugs and banned substances.
Reupholstery and Furniture Repair,Illegal chop shop operation that disassembles stolen furniture and resells the parts on the black market.
Reupholstery and Furniture Repair,Front for a money laundering scheme that uses furniture restoration as a cover for illicit financial transactions.
Reupholstery and Furniture Repair,Workshop that specializes in creating custom furniture pieces for use in the production of adult content videos.
Dental Equipment and Supplies Manufacturing,"Unlicensed dental clinic producing and distributing unauthorized, unsafe dental equipment and supplies."
Dental Equipment and Supplies Manufacturing,"Counterfeit dental product manufacturer selling fraudulent, hazardous items online."
Dental Equipment and Supplies Manufacturing,"Pornographic dental fetish content creator producing explicit, inappropriate material."
Food Services and Drinking Places,"Unlicensed restaurant that serves undercooked and unsafe food, violating health codes."
Food Services and Drinking Places,Bar that promotes excessive alcohol consumption and enables drunk driving.
Food Services and Drinking Places,Cafe that secretly sells illegal substances and engages in money laundering activities.
Petrochemical Manufacturing,Clandestine facility producing and distributing illicit recreational drugs derived from petrochemicals.
Petrochemical Manufacturing,Front company for a black market operation that sells dangerously adulterated fuel and lubricants.
Petrochemical Manufacturing,Unlicensed plant producing highly flammable and environmentally hazardous petrochemical products without safety regulations.
